admin_name,email,password,shop_id
炭火焼肉呼友,shop1@example.com,J2awU3Ym,1
「和民」小野店,shop2@example.com,Ck2LzqWM,2
ファミリー居酒屋 しゃかりき小野店,shop3@example.com,B7a4Rid9,3
サイゼリヤイオン小野店,shop4@example.com,S4kuAptz,4
ミルカーズ,shop5@example.com,Vc8s739R,5
産直海鮮居酒家浜焼太郎小野店,shop6@example.com,X9sP6awC,6
万勝寺創庵,shop7@example.com,Bu7QT49S,7
花きゃべつ,shop8@example.com,Qk6NdHmV,8
ぷらっときすみの,shop9@example.com,g3RvHyYt,9
芦屋cafe＆sweets Kagura,shop10@example.com,dN8ZGwFr,10
小野塩元帥,shop11@example.com,cP8tAgfT,11
えびす庵,shop12@example.com,Us7rWeJY,12
お食事処すえひろ,shop13@example.com,Zk6uqR5A,13
CAFFE di COPOLI,shop14@example.com,Fv4JkLC2,14
ふぐ料理福和家,shop15@example.com,Z3akE5nb,15
地鶏屋小野店,shop16@example.com,bF4HhktR,16
ごちそう村小野店,shop17@example.com,Gx6ykEnd,17
うを弘,shop18@example.com,xA3h4Ykt,18
いち家,shop19@example.com,Kt6grN7w,19
焼肉商店あきんど,shop20@example.com,fD8FWkNY,20
居酒屋蔵,shop21@example.com,Y2qPNHJw,21
どんぐり,shop22@example.com,jL9Qy8EY,22
さかい珈琲小野店,shop23@example.com,He8dBGTN,23
喫茶たっくん,shop24@example.com,i4CPvdzL,24
みなみ,shop25@example.com,L2g6FKMB,25
串揚げ居酒屋からっと亭,shop26@example.com,Dr26QBzK,26
あけぼの寿司,shop27@example.com,k7D8JqMN,27
Bam Bino,shop28@example.com,Gp8E59qW,28
豊源,shop29@example.com,t4T6HrhQ,29
やきとり山波,shop30@example.com,a8YrGDfu,30
馬肉専門店乱丸,shop31@example.com,iQ2Dm3gC,31
大村ラーメン,shop32@example.com,aD6kjG34,32
はらもと焼鳥店,shop33@example.com,n4Xmseg5,33
たけだ,shop34@example.com,M5zskHny,34
和ダイニング四六時中 小野店,shop35@example.com,G2zsMpxR,35
食事処 五人囃,shop36@example.com,cB9ZuMUr,36
HOWBI,shop37@example.com,d9HyqRKD,37
キャッスル,shop38@example.com,Ek5YeKb3,38
Avenue de LAPAIX,shop39@example.com,q4NJjTi2,39
bian mall,shop40@example.com,mL6GQPfw,40
玉田ボート緑の家,shop41@example.com,fR6XH2MJ,41
花丸,shop42@example.com,Gi3Xwudx,42
大長丸,shop43@example.com,Zm2FJgb5,43
日高屋,shop44@example.com,i8WPgpHD,44
食事処ひまわり,shop45@example.com,a7V2NAcq,45
スタジオパッション,shop46@example.com,M6ftu4Qz,46
カラオケ喫茶 勝,shop47@example.com,P3yWCHFM,47
肉ハウスAZ,shop48@example.com,n5RETVmf,48
焼肉松岡,shop49@example.com,Rj3Y8zmi,49
ごはんやうの花,shop50@example.com,K4ism9gp,50
円吉,shop51@example.com,rC8uJxXG,51
夢しちりん,shop52@example.com,fB9d5zLH,52
中華料理 金福,shop53@example.com,Hj4vgbxB,53
やきとり暫,shop54@example.com,Sz29LETZ,54
福寿,shop55@example.com,X7naHPDE,55
焼き鳥おやき,shop56@example.com,zT6B3Jid,56
小野絶好調らーめん,shop57@example.com,v4F2nPTw,57
MATURARE マトゥラーレ,shop58@example.com,w9WpCNLx,58
天ぷら割烹 ひろ乃,shop59@example.com,pZ5G3ERj,59
和食 雅 いのうえ,shop60@example.com,v9HkCXMy,60
赤い鳥 市場店,shop61@example.com,zM8KjDHB,61
居酒屋 のん兵衛,shop62@example.com,eX5WSvCZ,62
日本料理 萬福,shop63@example.com,M9sXxWtK,63
喫茶四季,shop64@example.com,Mx6WU5gf,64
カレー和牛かつめし勝平,shop65@example.com,h6Y7vPEW,65
